time;data;year;month;su;label;tillage;tillage_d;ov_time;conv;time_conv;cover;crop;x;y;coor1;cood2;state;muni;ID;prof;FCO2;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;50;30;7647673.68;782062.71;SP;Jaboticabal;16;0-0.1;0.845;21.78;NA;5.4;27;26;3.6;28;11;31;42.6;73.6;58;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;31;7647673.68;782062.71;SP;Jaboticabal;17;0-0.1;0.411;20.62;NA;5.3;25;47;3.6;31;13;31;47.6;78.6;61;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;32;7647673.68;782062.71;SP;Jaboticabal;18;0-0.1;0.374;21.1;NA;5.3;25;44;3.2;30;12;28;45.2;73.2;62;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;33;7647673.68;782062.71;SP;Jaboticabal;19;0-0.1;0.614;21.37;NA;5.3;23;49;3.1;30;12;25;45.1;70.1;64;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;34;7647673.68;782062.71;SP;Jaboticabal;20;0-0.1;0.849;21.3;NA;5.3;20;34;2.6;25;12;28;39.6;67.6;59;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;36;7647673.68;782062.71;SP;Jaboticabal;21;0-0.1;0.62;21.05;NA;5.4;22;38;2.9;29;13;28;44.9;72.9;62;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;38;7647673.68;782062.71;SP;Jaboticabal;22;0-0.1;1.13;21.57;NA;5.4;25;55;4.0;35;14;28;53.0;81.0;65;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;0;40;7647673.68;782062.71;SP;Jaboticabal;23;0-0.1;1.01;21.28;NA;5.4;22;67;5.3;29;12;28;46.6;74.6;62;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;10;40;7647673.68;782062.71;SP;Jaboticabal;24;0-0.1;0.694;20.97;NA;5.5;24;75;10.0;30;15;22;55.0;77.0;71;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;20;40;7647673.68;782062.71;SP;Jaboticabal;25;0-0.1;1.07;21.14;NA;5.2;22;56;2.9;28;11;31;41.9;72.9;57;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;30;40;7647673.68;782062.71;SP;Jaboticabal;26;0-0.1;0.889;20.71;NA;5.2;22;27;3.4;24;10;34;37.4;71.4;52;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;31;40;7647673.68;782062.71;SP;Jaboticabal;27;0-0.1;1.16;20.99;NA;5.2;22;29;3.1;26;11;31;40.1;71.1;56;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;32;40;7647673.68;782062.71;SP;Jaboticabal;28;0-0.1;0.546;21.36;NA;5.0;23;37;3.4;26;10;38;39.4;77.4;51;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;33;40;7647673.68;782062.71;SP;Jaboticabal;29;0-0.1;0.912;21.37;NA;5.0;25;31;3.1;26;11;34;40.1;74.1;54;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;34;40;7647673.68;782062.71;SP;Jaboticabal;30;0-0.1;1.35;21.59;NA;5.0;26;32;3.1;25;8;38;36.1;74.1;49;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;36;40;7647673.68;782062.71;SP;Jaboticabal;31;0-0.1;0.816;21.55;NA;5.0;25;39;3.4;25;10;34;38.4;72.4;53;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;38;40;7647673.68;782062.71;SP;Jaboticabal;32;0-0.1;0.741;22.04;NA;5.0;26;38;3.7;25;10;31;38.7;69.7;56;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;40;7647673.68;782062.71;SP;Jaboticabal;33;0-0.1;1.22;21.55;NA;5.5;28;60;4.4;38;14;22;56.4;78.4;72;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;42;40;7647673.68;782062.71;SP;Jaboticabal;34;0-0.1;0.432;21.22;NA;5.2;22;36;3.4;26;11;31;40.4;71.4;57;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;44;40;7647673.68;782062.71;SP;Jaboticabal;35;0-0.1;0.652;21.37;NA;5.4;27;50;4.9;30;14;28;48.9;76.9;64;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;46;40;7647673.68;782062.71;SP;Jaboticabal;36;0-0.1;1.04;21.67;NA;5.2;24;41;3.7;25;11;34;39.7;73.7;54;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;47;40;7647673.68;782062.71;SP;Jaboticabal;37;0-0.1;1.38;21.94;NA;5.3;25;33;4.0;23;10;31;37.0;68.0;54;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;48;40;7647673.68;782062.71;SP;Jaboticabal;38;0-0.1;1.36;21.42;NA;5.2;22;26;2.4;24;11;31;37.4;68.4;55;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;49;40;7647673.68;782062.71;SP;Jaboticabal;39;0-0.1;0.985;21;NA;5.2;23;32;4.0;26;11;31;41.0;72.0;57;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;50;40;7647673.68;782062.71;SP;Jaboticabal;40;0-0.1;0.588;21.25;NA;5.2;23;32;3.4;25;11;31;39.4;70.4;56;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;60;40;7647673.68;782062.71;SP;Jaboticabal;41;0-0.1;0.997;21.38;NA;5.4;24;39;3.7;33;15;31;51.7;82.7;63;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;70;40;7647673.68;782062.71;SP;Jaboticabal;42;0-0.1;1.09;21.39;NA;5.5;25;28;3.9;23;10;28;36.9;64.9;57;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;80;40;7647673.68;782062.71;SP;Jaboticabal;43;0-0.1;0.888;21.34;NA;5.4;26;45;3.7;32;13;28;48.7;76.7;63;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;42;7647673.68;782062.71;SP;Jaboticabal;44;0-0.1;0.914;21.16;NA;5.3;28;56;4.9;29;13;31;46.9;77.9;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;44;7647673.68;782062.71;SP;Jaboticabal;45;0-0.1;0.967;21.39;NA;5.3;27;48;5.0;28;12;24;45.0;79.0;57;NA;NA;NA;NA;NA;NA;NA;NA;NA
